"Recording","Timestamp","Species Text","Calls [#]","Mean Peak Frequency [kHz]","Mean Max Frequency [kHz]","Mean Min Frequency [kHz]","Mean Call Lenght [ms]","Mean Call Distance [ms]","Temperature [°C]","Latitude [WGS84]","Longitude [WGS84]","Length [s]"
"24910051","07/05/2018 05:12:29","Pipistrellus pygmaeus","23","55.3","62.1","54.3","7.0","90","9.0","50.517018","-4.162560","3.87"
"24910009","06/05/2018 21:05:24","Pipistrellus pygmaeus","12","55.1","60.0","54.0","7.0","90","17.0","","","2.27"
"24910010","06/05/2018 21:06:51","Nyctalus noctula","18","18.6","19.7","17.5","23.8","340","17.0","","","8.10"
"24910011","06/05/2018 21:09:23","Nyctalus noctula","34","23.1","27.6","21.5","16.0","150","17.0","","","7.96"
"24910012","06/05/2018 21:13:20","Nyctalus noctula","10","18.1","19.4","17.1","14.0","480","17.0","","","5.29"
"24910013","06/05/2018 21:19:16","Pipistrellus pygmaeus","30","52.4","58.6","51.5","7.0","90","17.0","50.517713","-4.162705","4.63"
"24910014","06/05/2018 21:20:33","Pipistrellus pygmaeus","31","52.5","60.4","51.4","5.0","80","17.0","50.517037","-4.162595","5.55"
"24910015","06/05/2018 21:20:40","Pipistrellus pygmaeus","30","52.8","62.2","51.7","5.0","80","17.0","50.517062","-4.162693","5.70"
"24910016","06/05/2018 21:31:51","Pipistrellus pygmaeus","39","52.5","60.1","51.3","5.0","90","16.0","50.541677","-4.188790","6.96"
"24910017","06/05/2018 21:32:35","Pipistrellus pygmaeus","48","51.9","59.0","50.7","5.0","90","16.0","","","8.85"
"24910018","06/05/2018 21:34:00","Nyctalus noctula","1","18.0","18.9","17.4","8.5","0","16.0","","","1.51"
"24910019","06/05/2018 21:34:02","Nyctalus noctula","1","18.9","19.5","18.0","9.2","0","16.0","","","1.50"
"24910020","06/05/2018 21:34:04","Nyctalus noctula","17","19.3","21.5","18.3","14.0","390","16.0","","","8.30"
"24910021","06/05/2018 21:34:14","Nyctalus noctula","2","16.9","17.7","15.9","14.4","1454","16.0","50.517033","-4.162153","2.45"
"24910022","06/05/2018 21:34:27","Pipistrellus pipistrellus","15","42.7","45.7","41.3","7.0","90","16.0","50.517033","-4.162153","3.91"
