"Recording","Timestamp","Species Text","Calls [#]","Mean Peak Frequency [kHz]","Mean Max Frequency [kHz]","Mean Min Frequency [kHz]","Mean Call Lenght [ms]","Mean Call Distance [ms]","Temperature [°C]","Latitude [WGS84]","Longitude [WGS84]","Length [s]"
"24910026","04/08/2018 21:38:19","Nyctalus noctula","5","20.4","22.0","19.2","11.3","420","17.0","50.517980","-4.166303","1.92"
"24910027","04/08/2018 21:38:22","Nyctalus noctula","6","21.0","23.9","19.5","8.1","312","17.0","50.517980","-4.166303","2.12"
"24910028","04/08/2018 21:38:26","Nyctalus noctula","47","22.9","28.4","20.9","16.0","140","17.0","50.517967","-4.166247","13.32"
"24910029","04/08/2018 21:38:42","Nyctalus noctula","16","20.5","23.3","19.1","16.0","60","17.0","50.517967","-4.166247","4.85"
"24910030","04/08/2018 21:38:49","Nyctalus noctula","4","19.8","22.8","17.2","1.0","258","17.0","50.517975","-4.166138","1.49"
"24910078","04/08/2018 21:54:12","Pipistrellus pygmaeus","14","55.6","58.5","54.7","9.0","90","17.0","50.518113","-4.166217","2.84"
"24910080","04/08/2018 21:58:33","Pipistrellus pygmaeus","10","52.9","56.4","52.0","7.0","90","17.0","50.517968","-4.166112","2.59"
"24910081","04/08/2018 21:58:37","Pipistrellus pygmaeus","15","53.7","61.8","52.8","5.0","80","17.0","50.517958","-4.166088","2.47"
"24910085","04/08/2018 22:01:01","Pipistrellus pygmaeus","6","54.2","56.2","52.6","10.0","210","17.0","50.517997","-4.166128","1.50"
"24910087","04/08/2018 22:05:54","Pipistrellus pipistrellus","14","45.9","50.6","44.7","7.0","110","17.0","50.517970","-4.166110","2.94"
"24910088","04/08/2018 22:06:06","Pipistrellus pygmaeus","41","53.4","58.7","52.4","5.0","50","17.0","50.517937","-4.166080","6.93"
"24910089","04/08/2018 22:07:16","Nyctalus noctula","1","19.2","21.1","17.7","17.7","0","16.0","50.517897","-4.166060","1.50"
"24910090","04/08/2018 22:09:25","Pipistrellus pygmaeus","8","54.3","61.2","53.0","7.0","70","16.0","50.517915","-4.166137","1.51"
"24910091","04/08/2018 22:09:28","Pipistrellus pygmaeus","38","54.0","61.5","52.8","5.0","90","16.0","50.517897","-4.166138","8.32"
"24910092","04/08/2018 22:12:31","Pipistrellus pipistrellus","59","46.5","53.2","45.4","7.0","100","16.0","50.517875","-4.166153","13.61"
"24910093","04/08/2018 22:14:03","Eptesicus serotinus","14","27.2","32.1","24.8","10.0","120","16.0","50.517925","-4.166132","3.52"
"24910094","04/08/2018 22:14:09","Eptesicus serotinus","16","28.5","35.1","26.4","6.0","300","16.0","50.517925","-4.166132","4.43"
"24910095","04/08/2018 22:14:16","Pipistrellus pipistrellus","8","46.8","50.5","45.4","7.0","100","16.0","50.517888","-4.166123","1.49"
"24910096","04/08/2018 22:14:18","Pipistrellus pipistrellus","40","46.4","52.9","45.3","7.0","110","16.0","50.517888","-4.166123","10.97"
"24910097","04/08/2018 22:14:36","Pipistrellus pipistrellus","4","46.2","50.8","45.2","9.0","97","16.0","50.517868","-4.166115","1.57"
"24910099","04/08/2018 22:16:15","Pipistrellus pipistrellus","6","48.0","54.7","47.0","3.0","70","16.0","50.517895","-4.166110","1.58"
"24910100","04/08/2018 22:16:18","Pipistrellus pipistrellus","2","47.3","50.8","46.5","2.9","278","16.0","50.517895","-4.166110","1.50"
"24910101","04/08/2018 22:17:01","Pipistrellus pipistrellus","8","43.3","45.0","42.1","7.0","200","16.0","50.517902","-4.166088","1.50"
"24910102","04/08/2018 22:17:11","Pipistrellus pipistrellus","6","43.0","51.1","41.0","5.0","225","16.0","50.517902","-4.166088","1.49"
"24910103","04/08/2018 22:17:17","Pipistrellus pipistrellus","3","44.3","47.3","42.9","3.0","432","16.0","50.517890","-4.166088","1.50"
"24910104","04/08/2018 22:17:27","Pipistrellus pipistrellus","72","47.3","57.8","46.2","5.0","80","16.0","50.517885","-4.166068","13.78"
"24910106","04/08/2018 22:18:57","Pipistrellus pygmaeus","4","54.2","58.7","52.6","7.0","90","16.0","50.517903","-4.166073","1.76"
"24910107","04/08/2018 22:18:59","Pipistrellus pygmaeus","40","53.3","57.7","52.4","7.0","90","16.0","50.517902","-4.166095","7.14"
"24910110","04/08/2018 22:20:03","Pipistrellus pipistrellus","11","47.4","51.0","46.3","7.0","60","16.0","50.517960","-4.166060","2.02"
"24910111","04/08/2018 22:20:06","Pipistrellus pipistrellus","15","45.8","47.8","44.7","8.0","110","16.0","50.517960","-4.166060","4.24"
"24910112","04/08/2018 22:20:13","Pipistrellus pipistrellus","49","44.2","50.1","43.1","7.0","100","16.0","50.517938","-4.166112","16.37"
"24910113","04/08/2018 22:20:32","Pipistrellus pygmaeus","37","50.6","54.8","49.6","7.0","70","16.0","50.517938","-4.166112","6.85"
"24910114","04/08/2018 22:22:12","Pipistrellus pipistrellus","3","46.4","54.8","45.5","5.0","261","16.0","50.517882","-4.166132","1.50"
"24910115","04/08/2018 22:22:14","Pipistrellus pipistrellus","46","47.0","59.4","45.8","5.0","90","16.0","50.517882","-4.166132","7.00"
"24910116","04/08/2018 22:22:22","Pipistrellus pygmaeus","28","55.3","64.1","54.3","7.0","90","16.0","50.517868","-4.166103","7.12"
"24910117","04/08/2018 22:22:50","Pipistrellus pipistrellus","12","48.7","57.6","46.8","3.0","80","16.0","50.517875","-4.166140","2.39"
