location_name,sref,sref_system,date,species_tvk,species,passes,percentile,activity_level,pass_definition,detector_make,detector_model,detector_height_m,roost_within_25m,activity_elevated_by_roost,roost_species,linear_feature_adjacent,linear_feature_25m,anthropogenic_feature_adjacent,anthropogenic_feature_25m,temperature_c,rainfall,wind_speed_mph,reference_range_size,location_filter,date_filter,detector_make_filter
Curbridge ,SP 33179 08496,OSGB,27/05/2017,NHMSYS0000080178,Barbastella barbastellus,4,42,medium,Pass 1s gap,Titley Scientific,Anabat Express ,1.5,No,No,,Treeline,No,None,None,,,,10,100,1,No
Curbridge ,SP 33179 08496,OSGB,11/08/2017,NHMSYS0000080178,Barbastella barbastellus,1,0,low,Pass 1s gap,Titley Scientific,Anabat Express ,1.5,No,No,,Treeline,No,None,None,,,,10,100,1,No
Curbridge ,SP 33179 08496,OSGB,12/08/2017,NHMSYS0000080178,Barbastella barbastellus,2,21,low/medium,Pass 1s gap,Titley Scientific,Anabat Express ,1.5,No,No,,Treeline,No,None,None,,,,10,100,1,No
Curbridge ,SP 33179 08496,OSGB,13/08/2017,NHMSYS0000080178,Barbastella barbastellus,3,33,low/medium,Pass 1s gap,Titley Scientific,Anabat Express ,1.5,No,No,,Treeline,No,None,None,,,,10,100,1,No
Curbridge ,SP 33179 08496,OSGB,14/08/2017,NHMSYS0000080178,Barbastella barbastellus,4,42,medium,Pass 1s gap,Titley Scientific,Anabat Express ,1.5,No,No,,Treeline,No,None,None,,,,10,100,1,No
Curbridge ,SP 33179 08496,OSGB,15/08/2017,NHMSYS0000080178,Barbastella barbastellus,2,21,low/medium,Pass 1s gap,Titley Scientific,Anabat Express ,1.5,No,No,,Treeline,No,None,None,,,,10,100,1,No
Curbridge ,SP 33179 08496,OSGB,17/08/2017,NHMSYS0000080178,Barbastella barbastellus,3,33,low/medium,Pass 1s gap,Titley Scientific,Anabat Express ,1.5,No,No,,Treeline,No,None,None,,,,10,100,1,No
Curbridge ,SP 33179 08496,OSGB,27/05/2017,NHMSYS0000528008,Eptesicus serotinus,1,0,low,Pass 1s gap,Titley Scientific,Anabat Express ,1.5,No,No,,Treeline,No,None,None,,,,46,100,1,No
Curbridge ,SP 33179 08496,OSGB,28/05/2017,NHMSYS0000528008,Eptesicus serotinus,1,0,low,Pass 1s gap,Titley Scientific,Anabat Express ,1.5,No,No,,Treeline,No,None,None,,,,46,100,1,No
Curbridge ,SP 33179 08496,OSGB,11/08/2017,NHMSYS0000528008,Eptesicus serotinus,1,0,low,Pass 1s gap,Titley Scientific,Anabat Express ,1.5,No,No,,Treeline,No,None,None,,,,46,100,1,No
Curbridge ,SP 33179 08496,OSGB,12/08/2017,NHMSYS0000528008,Eptesicus serotinus,2,21,low/medium,Pass 1s gap,Titley Scientific,Anabat Express ,1.5,No,No,,Treeline,No,None,None,,,,46,100,1,No
Curbridge ,SP 33179 08496,OSGB,13/08/2017,NHMSYS0000528008,Eptesicus serotinus,1,0,low,Pass 1s gap,Titley Scientific,Anabat Express ,1.5,No,No,,Treeline,No,None,None,,,,46,100,1,No
Curbridge ,SP 33179 08496,OSGB,16/08/2017,NHMSYS0000528008,Eptesicus serotinus,1,0,low,Pass 1s gap,Titley Scientific,Anabat Express ,1.5,No,No,,Treeline,No,None,None,,,,46,100,1,No
Curbridge ,SP 33179 08496,OSGB,26/05/2017,NBNSYS0000040730,Myotis,2,21,low/medium,Pass 1s gap,Titley Scientific,Anabat Express ,1.5,No,No,,Treeline,No,None,None,,,,113,100,1,No
Curbridge ,SP 33179 08496,OSGB,27/05/2017,NBNSYS0000040730,Myotis,14,69,medium/high,Pass 1s gap,Titley Scientific,Anabat Express ,1.5,No,No,,Treeline,No,None,None,,,,113,100,1,No
Curbridge ,SP 33179 08496,OSGB,28/05/2017,NBNSYS0000040730,Myotis,2,21,low/medium,Pass 1s gap,Titley Scientific,Anabat Express ,1.5,No,No,,Treeline,No,None,None,,,,113,100,1,No
Curbridge ,SP 33179 08496,OSGB,10/08/2017,NBNSYS0000040730,Myotis,4,42,medium,Pass 1s gap,Titley Scientific,Anabat Express ,1.5,No,No,,Treeline,No,None,None,,,,113,100,1,No
Curbridge ,SP 33179 08496,OSGB,11/08/2017,NBNSYS0000040730,Myotis,103,92,high,Pass 1s gap,Titley Scientific,Anabat Express ,1.5,No,No,,Treeline,No,None,None,,,,113,100,1,No
Curbridge ,SP 33179 08496,OSGB,12/08/2017,NBNSYS0000040730,Myotis,19,74,medium/high,Pass 1s gap,Titley Scientific,Anabat Express ,1.5,No,No,,Treeline,No,None,None,,,,113,100,1,No
Curbridge ,SP 33179 08496,OSGB,13/08/2017,NBNSYS0000040730,Myotis,26,79,medium/high,Pass 1s gap,Titley Scientific,Anabat Express ,1.5,No,No,,Treeline,No,None,None,,,,113,100,1,No
Curbridge ,SP 33179 08496,OSGB,14/08/2017,NBNSYS0000040730,Myotis,12,67,medium/high,Pass 1s gap,Titley Scientific,Anabat Express ,1.5,No,No,,Treeline,No,None,None,,,,113,100,1,No
Curbridge ,SP 33179 08496,OSGB,15/08/2017,NBNSYS0000040730,Myotis,15,71,medium/high,Pass 1s gap,Titley Scientific,Anabat Express ,1.5,No,No,,Treeline,No,None,None,,,,113,100,1,No
Curbridge ,SP 33179 08496,OSGB,16/08/2017,NBNSYS0000040730,Myotis,10,64,medium/high,Pass 1s gap,Titley Scientific,Anabat Express ,1.5,No,No,,Treeline,No,None,None,,,,113,100,1,No
Curbridge ,SP 33179 08496,OSGB,17/08/2017,NBNSYS0000040730,Myotis,37,83,high,Pass 1s gap,Titley Scientific,Anabat Express ,1.5,No,No,,Treeline,No,None,None,,,,113,100,1,No
Curbridge ,SP 33179 08496,OSGB,06/09/2017,NBNSYS0000040730,Myotis,1,0,low,Pass 1s gap,Titley Scientific,Anabat Express ,1.5,No,No,,Treeline,No,None,None,,,,113,100,1,No
Curbridge ,SP 33179 08496,OSGB,08/09/2017,NBNSYS0000040730,Myotis,1,0,low,Pass 1s gap,Titley Scientific,Anabat Express ,1.5,No,No,,Treeline,No,None,None,,,,113,100,1,No
Curbridge ,SP 33179 08496,OSGB,09/09/2017,NBNSYS0000040730,Myotis,3,33,low/medium,Pass 1s gap,Titley Scientific,Anabat Express ,1.5,No,No,,Treeline,No,None,None,,,,113,100,1,No
